id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,r5MO1PJU
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,FA29RTy0
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,0W23VRNg
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,OCxWglo1
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,qLADBqMa
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,uDHODjUZ
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,bM1V9l8O
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,6yVDj0kg
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,I8wCpDhj
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,nFMdll33
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,qGJn54hY
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,xoHj8AQh
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,1BrGr5NT
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,ch56uHp8
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,2ilpRXNz
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,UqnlhVwF
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,ZnHRf2QX
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,tfRJoV2h
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,avu6WTzv
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,9sHZZBGs
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,XJ6RtaCX
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,ZBvzbNnL
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,u6KWwcv1
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,ydkRnjci
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,9ceSlvF1
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,SkjLsrfE
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,IiFQzcdL
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,0UeGv6yt
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,mkiLHm7q
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,UAp5Hckh
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,qrONHiYX
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,iCDCvw5f
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,lKRSN7Bv
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,ToMH56Gj
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,tDioncTr
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,4nRCQUVC
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,rcLjhBZs
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,VeiCTqYF
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,2kGY94bI
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,bBy8TShZ
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,xvILV1DX
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,wFcQMT7g
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,LjbGIqeL
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,DIUC2J4n
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,L8FP6Dcb
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,4hfCUqzL
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,ZyImEnsN
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,6ymNhy2Y
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,ysPSIsrJ
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,RuiDUs6l
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,SatYoDzz
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,kQ2sEOD2
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,ngDAwmjS
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,ZSeZrGI0
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,StbVhF7A
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,2qElKH2Z
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,bUnY3PKJ
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,RTkVUfA9
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,qbA23YKt
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,2uymT477
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,YiWuXctm
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,CYaitv9Y
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,sAeEcreU
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,tGYwKepd
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,jwN6xWng
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,wuT2cLsk
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,tRGAFbuA
67,Остюков Артур Романович,329,11и,3,Остюков_АР,ldwkftas
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,yygNn1dg
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,nhra7FDQ
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,zzmJiDIZ
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,iViEWrJ3
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,vondTjM0
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,ONXWHZ2d
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,TfmXItwL
