id,Name,titleProject_id,class,score
79919061,Сербин Геннадий Михаилович,7,8в,2
527310622,Папандина Клавдия Яковлевна,304,9в,5
776499578,Белагина Галина Андреевна,396,9а,4
960328839,Кижняева Анна Леонидовна,178,7и,2
361638709,Цывин Олег Яковлевич,446,7т,2
74999373,Жидняева Ксения Эдуардовна,373,7х,4
271972633,Липковский Анатолий Иванович,144,10а,2
620603138,Меднова Наталья Богдановна,290,7и,5
549053803,Житихин Вячеслав Романович,141,9а,5
730543550,Шеврина Полина Максимовна,33,11а,5
327529330,Алпеев Валентин Данилович,323,8а,2
845437878,Золикова Клара Игоревна,364,10х,2
562352136,Дориков Дмитрий Петрович,296,10г,5
837341264,Корабышев Кирилл Михаилович,302,8и,5
316159335,Ростовиков Константин Николаевич,336,10а,2
177913534,Нехаев Дмитрий Фёдорович,129,7х,4
795466817,Зызлова Мария Николаевна,430,8г,3
12353601,Королупов Валерий Тимофеевич,397,10д,5
312758481,Стенцов Евгений Яковлевич,315,8и,4
105647229,Феклисов Константин Виталиевич,270,9т,None
794738036,Синелев Руслан Тимофеевич,300,8и,2
311239364,Опевалова Вера Евгеньевна,473,9д,5
503431301,Назерова Вероника Василевна,206,7б,5
416063394,Дименская Светлана Дмитриевна,387,9д,5
208712833,Ковторева Раиса Василевна,482,9и,2
709385881,Кулишнин Вячеслав Яковлевич,386,11х,5
521019089,Лексин Кирилл Антонович,139,7в,5
459403619,Лаковский Григорий Василиевич,240,7д,5
334195319,Барамыкова Александра Алексеевна,106,10а,3
6283823,Плясулина Оксана Андреевна,346,8х,2
821657531,Петрикеев Станислав Яковлевич,14,7и,4
808849349,Моторыгин Илья Георгиевич,238,10и,5
82056740,Рыков Тарас Павлович,174,10и,5
549960322,Иончикова Елизавета Егоровна,169,8д,5
30594138,Смолькина Алиса Егоровна,441,7г,5
863475737,Оболенин Герасим Павлович,472,7и,4
708858169,Трощинский Георгий Борисович,67,9д,3
35217785,Поддубская Лиза Игоревна,496,10а,4
307416856,Телькова Валерия Олеговна,335,7х,4
948450016,Чигварина Александра Алексеевна,428,10б,2
971951595,Киреевский Артур Игоревич,119,7в,3
549219714,Шумейкин Роман Павлович,420,8в,5
106149402,Трушинов Максим Алексиевич,82,8и,4
983386345,Голюков Денис Сергеевич,62,11б,4
505832402,Хлиманкова Надежда Валерьевна,461,10б,3
128213500,Кулаженков Алексей Олегович,367,10в,2
896661391,Бутукин Владимир Адамович,221,7х,5
167394632,Поддуев Леонид Олегович,149,9х,4
